drill_id,focus,time_of_day,difficulty,session_minutes,skill_level,fatigue,y_rate
serve_short_backspin,receive,afternoon,2,30,intermediate,low,0.8
serve_long_fast,receive,afternoon,2,30,intermediate,low,0.8
receive_push_control,receive,afternoon,2,30,intermediate,low,0.8
receive_flick_basic,receive,afternoon,3,30,intermediate,low,0.8
third_ball_loop,receive,afternoon,3,30,intermediate,low,0.8
block_control,receive,afternoon,2,30,intermediate,low,0.8
counter_topspin,receive,afternoon,4,30,intermediate,low,0.8
footwork_falkenberg,receive,afternoon,4,30,intermediate,low,0.8
multiball_consistency,receive,afternoon,3,30,intermediate,low,0.8
tactic_wide_elbow,receive,afternoon,3,30,intermediate,low,0.8
receive_push_control,receive,afternoon,2,30,intermediate,low,0.8
receive_push_control,receive,afternoon,2,30,intermediate,low,0.8
receive_push_control,receive,afternoon,2,30,intermediate,low,0.8
receive_push_control,receive,afternoon,2,30,intermediate,low,0.8
receive_push_control,receive,afternoon,2,30,intermediate,low,0.8
receive_push_control,receive,afternoon,2,30,intermediate,low,0.2
receive_flick_basic,receive,afternoon,3,30,intermediate,low,0.8
receive_flick_basic,receive,afternoon,3,30,intermediate,low,0.2
receive_push_control,receive,afternoon,2,30,intermediate,low,0.8
receive_push_control,receive,afternoon,2,30,intermediate,low,0.2
third_ball_loop,receive,afternoon,3,30,intermediate,low,0.8
third_ball_loop,receive,afternoon,3,30,intermediate,low,0.8
third_ball_loop,receive,afternoon,3,30,intermediate,low,0.2
block_control,receive,afternoon,2,30,intermediate,low,0.2
counter_topspin,receive,afternoon,4,30,intermediate,low,0.2
footwork_falkenberg,receive,afternoon,4,30,intermediate,low,0.2
